2021-01-20 19:46:28||WARN ||o.s.w.c.s.GenericWebApplicationContext:559||Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'jedisResource' defined in class path resource [com/pangu/Redis/RedisPoolContainer.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [redis.clients.jedis.Jedis]: Factory method 'jedisResource' threw exception; nested exception is redis.clients.jedis.exceptions.JedisConnectionException: Could not get a resource from the pool
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-zero-2, groupId=zero] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-zero-2, groupId=zero] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-zero-2, groupId=zero] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-zero-2, groupId=zero] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-zero-2, groupId=zero] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-zero-2, groupId=zero] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:48||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-3, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-zero-2, groupId=zero] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-zero-2, groupId=zero] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:763||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
2021-01-20 19:47:49||WARN ||o.apache.kafka.clients.NetworkClient:1037||[Consumer clientId=consumer-confucius_consumer-1, groupId=confucius_consumer] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
